                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1436,                 3.1329,                 1.7202,                0.42173,                0.46006,                0.35438,                0.28474,                 0.7174,                 1.4022,                 1.5686,                0.00333,                0.00333,                0.00333
                      2,                0.99232,                 1.7105,                 1.5581,                0.60027,                0.62059,                0.64195,                0.52865,                0.69819,                 1.1071,                  1.493,              0.0066193,              0.0066193,              0.0066193
                      3,                 1.0263,                 1.3934,                 1.5182,                0.69825,                0.68496,                 0.7415,                0.59965,                0.73872,                 1.0349,                  1.476,              0.0098647,              0.0098647,              0.0098647
                      4,                 1.0557,                 1.2665,                 1.4789,                0.75491,                0.76695,                0.80343,                0.66178,                 0.7045,                0.94496,                 1.4467,               0.009802,               0.009802,               0.009802
                      5,                 1.0334,                 1.1704,                 1.4676,                0.80398,                0.74485,                0.81678,                0.67614,                0.70849,                0.99157,                 1.4443,               0.009802,               0.009802,               0.009802
                      6,                 1.0113,                 1.0913,                 1.4341,                0.83006,                0.76993,                0.84252,                0.70428,                0.68825,                0.91241,                 1.4337,               0.009736,               0.009736,               0.009736
                      7,                 1.0033,                 1.0441,                  1.423,                0.83367,                0.81235,                0.85601,                0.71608,                0.68105,                 0.8877,                 1.4281,                0.00967,                0.00967,                0.00967
                      8,                0.98618,                  1.005,                 1.4161,                0.84531,                0.81176,                0.85266,                0.71432,                 0.6822,                 0.9135,                 1.4427,               0.009604,               0.009604,               0.009604
                      9,                0.97098,                0.97647,                 1.4023,                0.83663,                0.82984,                0.86095,                0.72372,                0.66936,                 0.8995,                 1.4278,               0.009538,               0.009538,               0.009538
                     10,                0.96557,                0.94853,                  1.393,                0.84522,                0.82926,                  0.856,                0.71426,                0.69319,                 0.9108,                 1.4549,               0.009472,               0.009472,               0.009472
                     11,                0.95743,                0.93927,                 1.3853,                0.85499,                0.83749,                 0.8659,                0.72695,                0.67644,                0.91469,                 1.4125,               0.009406,               0.009406,               0.009406
                     12,                0.94496,                 0.9304,                  1.384,                0.87211,                0.82711,                0.87085,                0.73299,                0.67299,                 0.9051,                 1.4001,                0.00934,                0.00934,                0.00934
                     13,                0.93926,                0.90886,                 1.3748,                0.84564,                0.82766,                0.85439,                0.72594,                 0.6578,                0.93257,                 1.4062,               0.009274,               0.009274,               0.009274
                     14,                0.93731,                 0.9021,                 1.3735,                 0.8505,                0.83969,                0.86851,                0.73871,                0.65237,                0.88578,                 1.4224,               0.009208,               0.009208,               0.009208
                     15,                0.92109,                0.89061,                 1.3663,                0.85368,                0.85344,                0.86971,                0.74226,                0.64819,                0.89886,                 1.4119,               0.009142,               0.009142,               0.009142
                     16,                0.92235,                0.88303,                 1.3593,                0.86485,                 0.8382,                0.87024,                0.74202,                 0.6445,                0.87535,                 1.3844,               0.009076,               0.009076,               0.009076
                     17,                0.91726,                0.88004,                 1.3555,                0.86208,                0.85073,                0.88123,                0.75426,                0.64598,                0.84877,                 1.4002,                0.00901,                0.00901,                0.00901
                     18,                0.91217,                0.86126,                 1.3466,                0.86936,                0.85325,                0.87588,                0.75129,                0.63227,                0.85705,                  1.399,               0.008944,               0.008944,               0.008944
                     19,                0.89531,                0.84489,                 1.3356,                0.88172,                0.85118,                0.88403,                0.75409,                0.63763,                0.85492,                 1.3858,               0.008878,               0.008878,               0.008878
                     20,                0.89677,                0.84709,                 1.3355,                0.86347,                 0.8601,                0.88466,                0.76058,                0.62547,                0.85066,                  1.371,               0.008812,               0.008812,               0.008812
                     21,                0.88713,                0.83807,                 1.3372,                0.86889,                0.84707,                0.86184,                0.73846,                0.62477,                0.89188,                 1.3899,               0.008746,               0.008746,               0.008746
                     22,                0.88932,                 0.8375,                 1.3289,                0.86389,                0.85521,                0.87553,                0.75514,                0.62443,                0.88095,                 1.4007,                0.00868,                0.00868,                0.00868
                     23,                0.87832,                0.83427,                 1.3293,                0.87694,                0.85436,                0.88488,                0.76295,                0.61905,                0.85891,                 1.3674,               0.008614,               0.008614,               0.008614
                     24,                0.87765,                  0.825,                 1.3324,                0.87149,                0.85852,                0.87905,                0.76398,                0.62216,                0.87862,                  1.373,               0.008548,               0.008548,               0.008548
                     25,                0.87398,                 0.8282,                 1.3288,                0.87241,                0.85001,                0.87328,                 0.7542,                0.62094,                0.87066,                 1.3816,               0.008482,               0.008482,               0.008482
                     26,                0.86526,                0.81429,                 1.3219,                0.86252,                0.86719,                0.87408,                0.75786,                0.60853,                0.85107,                 1.3625,               0.008416,               0.008416,               0.008416
